NUMBER,LOCALITY,Dept/State,Country,Long,Lat,POP,Biome,Long_POP,Lat_POP,LB,LT,LH,LE,LM,BM1,LIF,BIF,BIT,BP,LN,BN,LIB,BB,BZP,DI,BOC,LPB,BOF,BR,BI,LI,BBU,LBB,CZL,LogLM,LogBM1,LogLIF,LogBIF,LogBIT,LogBP,LogLN,LogBN,LogLIB,LogBB,LogBZP,LogDI,LogBOC,LogLPB,LogBOF,LogBR,LogBI,LogLI,LogBBU,LogLBB,LogCZL
MNHN 1991/638,SÊo Paulo,SÊo Paulo,Brasil,-46.63,-23.55,SP-SC-PR,FA,-46.06,-23.14,173,147,39,16.5,6.95,2.08,7.72,2.7,3.41,6.89,14.73,3.47,5.03,14.3,5,2.47,7.7,8.73,9.08,5.35,8.7,2.7,5.67,13.52,26.22,0.841984805,0.318063335,0.8876173,0.431363764,0.532754379,0.838219222,1.168202747,0.540329475,0.701567985,1.155336037,0.698970004,0.392696953,0.886490725,0.941014244,0.958085849,0.728353782,0.939519253,0.431363764,0.753583059,1.130976692,1.418632687
BMNH 1909.12.1.24,Aj‹,Buenos Aires,Argentina,-56.9666667,-36.4,ARG,PA,-58.66,-34.57,161,162,42,21,7.85,2.63,6.92,2.17,2.84,8.03,12.28,3.47,4.17,14.72,4.62,2.25,8.74,8.56,8.36,5.13,9.75,2.58,5.91,14.12,26.45,0.894869657,0.419955748,0.840106094,0.336459734,0.45331834,0.904715545,1.089198367,0.540329475,0.620136055,1.16790781,0.664641976,0.352182518,0.941511433,0.932473765,0.922206277,0.710117365,0.989004616,0.411619706,0.771587481,1.149834697,1.422425676
BMNH 1909.12.1.25,Aj‹,Buenos Aires,Argentina,-56.9666667,-36.4,ARG,PA,-58.66,-34.57,195,204,44,21,7.69,2.47,7.7,2.22,3.77,8.33,14.36,3.39,3.88,16.28,5.68,2.67,8.54,8.78,10.21,4.91,10.12,2.97,6.65,14.4,29.23,0.88592634,0.392696953,0.886490725,0.346352974,0.57634135,0.920645001,1.15715444,0.530199698,0.588831726,1.211654401,0.754348336,0.426511261,0.931457871,0.943494516,1.009025742,0.691081492,1.005180513,0.472756449,0.822821645,1.158362492,1.465828815
BMNH 1909.12.1.72a,Aj‹,Buenos Aires,Argentina,-56.9666667,-36.4,ARG,PA,-58.66,-34.57,,,,,7.69,2.52,8.84,2.36,4.18,9,16.88,4.47,4.76,16.53,6.38,3.13,9.26,10.69,11.25,5.57,10.19,3.55,6.94,16.19,33.14,0.88592634,0.401400541,0.946452265,0.372912003,0.621176282,0.954242509,1.227372442,0.650307523,0.677606953,1.218272854,0.804820679,0.495544338,0.966610987,1.028977705,1.051152522,0.745855195,1.008174184,0.550228353,0.84135947,1.209246849,1.520352504
MACN 17866,Buenos Aires,Buenos Aires,Argentina,-59,-34.4,ARG,PA,-58.66,-34.57,,,,,7.7,2.42,8.54,2.39,4.18,8.91,15.89,3.43,4.72,16.11,6.19,2.67,8.78,9.77,9.55,5.51,11.91,3.41,6.08,15.21,31.61,0.886490725,0.383815366,0.931457871,0.378397901,0.621176282,0.949877704,1.201123897,0.53529412,0.673941999,1.20709554,0.791690649,0.426511261,0.943494516,0.989894564,0.980003372,0.741151599,1.075911761,0.532754379,0.783903579,1.182129214,1.499824496
MACN 15736,"Buenos Aires, 35km N.O. de Ayacucho",Buenos Aires,Argentina,-59,-34.4,ARG,PA,-58.66,-34.57,,166,48,21,7.56,2.59,8.93,2.5,4.07,8.3,14.35,3.53,4.29,16.07,5.88,2.85,8.59,9.34,9.87,5.26,10.59,2.33,6.05,15.24,30.89,0.878521796,0.413299764,0.950851459,0.397940009,0.609594409,0.919078092,1.156851901,0.547774705,0.632457292,1.206015877,0.769377326,0.45484486,0.933993164,0.970346876,0.994317153,0.720985744,1.02489596,0.367355921,0.781755375,1.182984967,1.489817908
BMNH 1917.6.1.14,"Isla Ella, Delta del Parana",Buenos Aires,Argentina,-58.7905006,-33.7895012,ARG,PA,-58.66,-34.57,206,199,46.5,23,7.99,2.67,8.38,2.63,4.12,8.26,15.41,4.49,4.86,15.31,5.16,2.74,8.14,10.31,11.02,5.3,9.79,2.82,6.21,14.72,31.37,0.902546779,0.426511261,0.923244019,0.419955748,0.614897216,0.916980047,1.187802639,0.652246341,0.686636269,1.184975191,0.712649702,0.437750563,0.910624405,1.013258665,1.042181595,0.72427587,0.990782692,0.450249108,0.7930916,1.16790781,1.496514519
BMNH 1917.6.1.15,"Isla Ella, Delta del Parana",Buenos Aires,Argentina,-58.7905006,-33.7895012,ARG,PA,-58.66,-34.57,193,187,51,20,7.54,2.61,8.1,2.43,3.96,8.41,16.19,4.06,4.66,16.17,4.99,3.07,8.41,9.43,10.69,5.36,11.99,2.78,6.15,16,29.42,0.877371346,0.416640507,0.908485019,0.385606274,0.597695186,0.924795996,1.209246849,0.608526034,0.668385917,1.20871002,0.698100546,0.487138375,0.924795996,0.974511693,1.028977705,0.72916479,1.078819183,0.444044796,0.788875116,1.204119983,1.468642668
MACN 20333,"Delta I.N.T.A, Buenos Aires",Buenos Aires,Argentina,-58.7905006,-33.7895012,ARG,PA,-58.66,-34.57,,,,,7.58,2.23,7.34,2.4,3.41,8.23,14.36,3.92,4.67,16.46,4.66,2.43,8.6,9.48,7.69,5.07,11,1.57,5.29,13.94,26.98,0.879669206,0.348304863,0.86569606,0.380211242,0.532754379,0.915399835,1.15715444,0.593286067,0.669316881,1.216429831,0.668385917,0.385606274,0.934498451,0.976808337,0.88592634,0.705007959,1.041392685,0.195899652,0.723455672,1.144262774,1.431041945
MACN 20388,"Otamendi, I.N.T.A- Delta, Buenos Aires",Buenos Aires,Argentina,-57.849998,-38.116669,ARG,PA,-58.66,-34.57,,,,,7.97,2.5,9.37,2.99,4.53,9.61,18.44,4.16,5.31,16.84,5.91,3.07,9.08,11.05,10.43,5.61,10.23,2.47,6.27,15.29,33.44,0.901458321,0.397940009,0.971739591,0.475671188,0.656098202,0.982723388,1.265760917,0.619093331,0.725094521,1.226342087,0.771587481,0.487138375,0.958085849,1.043362278,1.018284308,0.748962861,1.009875634,0.392696953,0.797267541,1.184407485,1.524266269
